workerid,animal2,animal1,scene,color1,color2,slide_number,response
0,fishs,flowers,1121,blue,green,3,every_is
0,fishs,flowers,1222,blue,green,4,every_not
0,bugs,flowers,1121,green,yellow,5,every_not
0,flowers,birds,1112,blue,yellow,6,every_not
0,bugs,flowers,1112,green,yellow,7,every_not
0,bugs,flowers,1222,green,yellow,8,every_not
0,fishs,birds,1121,red,blue,9,every_is
0,flowers,birds,1121,blue,yellow,10,every_is
0,fishs,birds,1111,red,blue,11,every_is
0,flowers,birds,1222,blue,yellow,12,every_not
0,fishs,flowers,1212,blue,green,13,every_not
0,fishs,birds,1112,red,blue,14,every_not
0,bugs,flowers,1221,green,yellow,15,every_not
0,flowers,birds,1122,blue,yellow,16,every_not
0,fishs,birds,1221,red,blue,17,every_not
0,bugs,flowers,1212,green,yellow,18,every_not
0,flowers,birds,1212,blue,yellow,19,every_not
0,fishs,flowers,1112,blue,green,20,every_not
0,fishs,birds,1122,red,blue,21,every_not
0,fishs,flowers,1122,blue,green,22,every_not
0,bugs,flowers,1122,green,yellow,23,every_not
0,fishs,birds,1212,red,blue,24,every_not
0,flowers,birds,1111,blue,yellow,25,every_is
0,fishs,flowers,1221,blue,green,26,every_not
0,flowers,birds,1221,blue,yellow,27,every_not
0,fishs,birds,1222,red,blue,28,every_not
0,fishs,flowers,1111,blue,green,29,every_is
0,bugs,flowers,1111,green,yellow,30,every_is
1,flowers,fishs,1121,blue,green,3,a_is
1,birds,bugs,1222,blue,red,4,a_not
1,birds,flowers,1112,red,green,5,every_not
1,birds,flowers,1222,red,green,6,the_not
1,birds,flowers,1212,red,green,7,a_not
1,flowers,fishs,1222,blue,green,8,a_not
1,birds,bugs,1212,blue,red,9,every_not
1,birds,flowers,1122,red,green,10,every_not
1,fishs,bugs,1112,green,yellow,11,the_not
1,fishs,bugs,1121,green,yellow,12,every_is
1,birds,bugs,1221,blue,red,13,every_not
1,flowers,fishs,1221,blue,green,14,every_not
1,fishs,bugs,1212,green,yellow,15,a_not
1,birds,bugs,1111,blue,red,16,the_is
1,flowers,fishs,1112,blue,green,17,every_not
1,fishs,bugs,1122,green,yellow,18,every_not
1,fishs,bugs,1222,green,yellow,19,every_not
1,birds,flowers,1221,red,green,20,every_not
1,flowers,fishs,1212,blue,green,21,a_not
1,flowers,fishs,1122,blue,green,22,every_not
1,flowers,fishs,1111,blue,green,23,every_is
1,birds,bugs,1122,blue,red,24,every_not
1,birds,flowers,1111,red,green,25,a_is
1,birds,bugs,1112,blue,red,26,every_not
1,fishs,bugs,1221,green,yellow,27,every_not
1,fishs,bugs,1111,green,yellow,28,every_not
1,birds,flowers,1121,red,green,29,the_is
1,birds,bugs,1121,blue,red,30,every_is
2,flowers,birds,1111,yellow,blue,3,a_is
2,birds,flowers,1221,blue,yellow,4,a_not
2,fishs,birds,1212,green,red,5,every_not
2,flowers,birds,1222,yellow,blue,6,every_not
2,flowers,fishs,1121,green,red,7,every_is
2,flowers,fishs,1222,green,red,8,every_not
2,fishs,birds,1122,green,red,9,the_is
2,fishs,birds,1221,green,red,10,the_not
2,fishs,birds,1111,green,red,11,every_is
2,birds,flowers,1112,blue,yellow,12,a_not
2,flowers,fishs,1122,green,red,13,a_is
2,birds,flowers,1121,blue,yellow,14,every_is
2,flowers,birds,1122,yellow,blue,15,a_is
2,birds,flowers,1122,blue,yellow,16,a_is
2,birds,flowers,1111,blue,yellow,17,every_not
2,birds,flowers,1212,blue,yellow,18,every_not
2,birds,flowers,1222,blue,yellow,19,every_not
2,flowers,fishs,1212,green,red,20,every_not
2,flowers,fishs,1221,green,red,21,the_not
2,fishs,birds,1121,green,red,22,every_is
2,flowers,fishs,1112,green,red,23,the_is
2,flowers,fishs,1111,green,red,24,every_is
2,fishs,birds,1222,green,red,25,every_not
2,flowers,birds,1112,yellow,blue,26,a_is
2,flowers,birds,1121,yellow,blue,27,every_is
2,flowers,birds,1221,yellow,blue,28,the_not
2,flowers,birds,1212,yellow,blue,29,every_not
2,fishs,birds,1112,green,red,30,a_not
3,flowers,fishs,1112,green,blue,3,the_is
3,flowers,birds,1212,yellow,green,4,the_not
3,fishs,bugs,1221,yellow,blue,5,a_not
3,bugs,birds,1212,blue,green,6,every_not
3,flowers,fishs,1122,green,blue,7,a_is
3,flowers,fishs,1111,green,blue,8,every_is
3,fishs,bugs,1222,yellow,blue,9,every_not
3,fishs,bugs,1222,yellow,blue,9,every_not
3,bugs,birds,1112,blue,green,11,every_is
3,flowers,fishs,1222,green,blue,12,the_not
3,flowers,birds,1222,yellow,green,13,the_not
3,bugs,birds,1122,blue,green,14,the_is
3,bugs,birds,1111,blue,green,15,every_is
3,bugs,birds,1221,blue,green,16,a_not
3,flowers,birds,1121,yellow,green,17,every_is
3,bugs,birds,1121,blue,green,18,the_is
3,flowers,birds,1221,yellow,green,19,the_not
3,bugs,birds,1222,blue,green,20,every_not
3,fishs,bugs,1121,yellow,blue,21,every_is
3,flowers,birds,1112,yellow,green,22,a_not
3,flowers,birds,1111,yellow,green,23,every_is
3,fishs,bugs,1112,yellow,blue,24,a_not
3,fishs,bugs,1111,yellow,blue,25,every_is
3,flowers,fishs,1121,green,blue,26,the_is
3,fishs,bugs,1122,yellow,blue,27,the_is
3,flowers,fishs,1212,green,blue,28,every_not
3,fishs,bugs,1212,yellow,blue,29,every_not
3,flowers,birds,1122,yellow,green,30,the_is
4,birds,flowers,1111,green,red,3,a_is
4,birds,flowers,1221,green,red,4,every_not
4,bugs,fishs,1221,blue,red,5,every_not
4,birds,flowers,1222,green,red,6,every_not
4,birds,flowers,1212,green,red,7,every_not
4,bugs,flowers,1111,green,blue,8,every_is
4,bugs,fishs,1121,blue,red,9,every_is
4,bugs,fishs,1111,yellow,blue,10,every_is
4,bugs,fishs,1112,yellow,blue,11,every_not
4,birds,flowers,1121,green,red,12,every_is
4,bugs,flowers,1112,green,blue,13,every_not
4,bugs,fishs,1212,blue,red,14,every_not
4,bugs,fishs,1222,yellow,blue,15,every_not
4,bugs,fishs,1222,blue,red,16,every_not
4,bugs,flowers,1122,green,blue,17,every_not
4,bugs,fishs,1122,yellow,blue,18,every_not
4,birds,flowers,1122,green,red,19,every_not
4,birds,flowers,1112,green,red,20,every_not
4,bugs,fishs,1112,blue,red,21,every_not
4,bugs,fishs,1122,blue,red,22,every_not
4,bugs,flowers,1121,green,blue,23,every_is
4,bugs,fishs,1121,yellow,blue,24,every_is
4,bugs,flowers,1212,green,blue,25,every_not
4,bugs,fishs,1111,blue,red,26,every_is
4,bugs,flowers,1221,green,blue,27,every_not
4,bugs,flowers,1222,green,blue,28,every_not
4,bugs,fishs,1212,yellow,blue,29,every_not
4,bugs,fishs,1221,yellow,blue,30,every_not
5,fishs,birds,1111,blue,green,3,a_is
5,fishs,birds,1122,blue,green,4,a_is
5,birds,fishs,1111,yellow,red,5,a_is
5,fishs,birds,1221,blue,green,6,a_not
5,bugs,birds,1222,blue,red,7,every_not
5,birds,fishs,1221,yellow,red,8,the_not
5,bugs,birds,1221,blue,red,9,the_not
5,flowers,fishs,1121,yellow,blue,10,every_is
5,fishs,birds,1121,blue,green,11,every_is
5,flowers,fishs,1212,yellow,blue,12,every_not
5,bugs,birds,1112,blue,red,13,the_is
5,bugs,birds,1121,blue,red,14,the_is
5,birds,fishs,1121,yellow,red,15,a_is
5,bugs,birds,1111,blue,red,16,the_is
5,flowers,fishs,1112,yellow,blue,17,a_is
5,bugs,birds,1212,blue,red,18,every_not
5,flowers,fishs,1221,yellow,blue,19,the_not
5,bugs,birds,1122,blue,red,20,a_is
5,flowers,fishs,1122,yellow,blue,21,the_is
5,flowers,fishs,1111,yellow,blue,22,every_is
5,fishs,birds,1112,blue,green,23,a_is
5,fishs,birds,1222,blue,green,24,every_not
5,flowers,fishs,1222,yellow,blue,25,every_not
5,fishs,birds,1212,blue,green,26,every_not
5,birds,fishs,1122,yellow,red,27,the_is
5,birds,fishs,1112,yellow,red,28,a_not
5,birds,fishs,1222,yellow,red,29,the_not
5,birds,fishs,1212,yellow,red,30,every_not
6,bugs,fishs,1112,green,red,3,a_is
6,bugs,fishs,1122,blue,green,4,the_is
6,bugs,fishs,1222,blue,green,5,a_not
6,bugs,fishs,1221,green,red,6,a_is
6,fishs,birds,1121,red,blue,7,every_is
6,bugs,fishs,1121,blue,green,8,every_is
6,birds,flowers,1121,green,yellow,9,the_is
6,birds,flowers,1122,green,yellow,10,the_is
6,bugs,fishs,1222,green,red,11,a_not
6,fishs,birds,1221,red,blue,12,the_not
6,fishs,birds,1222,red,blue,13,the_not
6,birds,flowers,1222,green,yellow,14,the_not
6,bugs,fishs,1112,blue,green,15,a_is
6,bugs,fishs,1121,green,red,16,a_is
6,birds,flowers,1111,green,yellow,17,every_is
6,birds,flowers,1221,green,yellow,18,the_not
6,bugs,fishs,1122,green,red,19,a_is
6,fishs,birds,1122,red,blue,20,the_is
6,birds,flowers,1212,green,yellow,21,every_not
6,bugs,fishs,1212,blue,green,22,the_not
6,fishs,birds,1212,red,blue,23,the_not
6,bugs,fishs,1111,green,red,24,the_is
6,bugs,fishs,1111,blue,green,25,the_is
6,bugs,fishs,1212,green,red,26,the_not
6,fishs,birds,1112,red,blue,27,a_is
6,fishs,birds,1111,red,blue,28,the_is
6,bugs,fishs,1221,blue,green,29,a_not
6,birds,flowers,1112,green,yellow,30,the_not
7,bugs,birds,1212,yellow,blue,3,every_not
7,flowers,birds,1212,blue,yellow,4,every_not
7,flowers,bugs,1221,blue,red,5,the_not
7,bugs,birds,1221,yellow,blue,6,a_not
7,bugs,birds,1122,yellow,blue,7,the_is
7,birds,fishs,1212,green,blue,8,every_not
7,bugs,birds,1121,yellow,blue,9,every_is
7,bugs,birds,1121,yellow,blue,9,every_is
7,flowers,birds,1122,blue,yellow,11,every_is
7,birds,fishs,1122,green,blue,12,a_is
7,flowers,bugs,1122,blue,red,13,a_is
7,flowers,birds,1121,blue,yellow,14,every_is
7,flowers,birds,1112,blue,yellow,15,a_is
7,birds,fishs,1222,green,blue,16,every_not
7,birds,fishs,1221,green,blue,17,a_not
7,birds,fishs,1111,green,blue,18,every_is
7,flowers,birds,1221,blue,yellow,19,the_not
7,flowers,birds,1222,blue,yellow,20,every_not
7,flowers,bugs,1222,blue,red,21,every_not
7,flowers,birds,1111,blue,yellow,22,every_is
7,flowers,bugs,1111,blue,red,23,every_is
7,birds,fishs,1112,green,blue,24,a_is
7,birds,fishs,1121,green,blue,25,every_is
7,bugs,birds,1222,yellow,blue,26,every_not
7,bugs,birds,1111,yellow,blue,27,the_is
7,bugs,birds,1112,yellow,blue,28,a_is
7,flowers,bugs,1112,blue,red,29,a_is
7,flowers,bugs,1212,blue,red,30,every_not
8,fishs,bugs,1212,red,blue,3,the_not
8,birds,fishs,1121,red,green,4,every_is
8,birds,fishs,1212,blue,red,5,every_not
8,birds,fishs,1222,blue,red,6,every_not
8,fishs,bugs,1222,red,blue,7,every_not
8,fishs,bugs,1112,red,blue,8,a_is
8,bugs,flowers,1111,red,green,9,every_is
8,birds,fishs,1122,blue,red,10,a_is
8,fishs,bugs,1111,red,blue,11,every_is
8,birds,fishs,1122,red,green,12,the_is
8,birds,fishs,1221,red,green,13,the_not
8,birds,fishs,1121,blue,red,14,every_is
8,birds,fishs,1112,blue,red,15,a_is
8,birds,fishs,1111,red,green,16,every_is
8,birds,fishs,1222,red,green,17,every_not
8,fishs,bugs,1122,red,blue,18,the_is
8,bugs,flowers,1121,red,green,19,every_is
8,birds,fishs,1112,red,green,20,a_is
8,bugs,flowers,1122,red,green,21,the_is
8,birds,fishs,1212,red,green,22,every_not
8,bugs,flowers,1112,red,green,23,a_is
8,birds,fishs,1221,blue,red,24,the_not
8,bugs,flowers,1221,red,green,25,the_not
8,bugs,flowers,1222,red,green,26,every_not
8,fishs,bugs,1121,red,blue,27,every_is
8,bugs,flowers,1212,red,green,28,every_not
8,birds,fishs,1111,blue,red,29,every_is
8,fishs,bugs,1221,red,blue,30,the_not
